Timestamp,City Name,Latitude,Longitude,FIR No.,Crime Type,Date Crime,Time Crime,Gender,Age,SafetyIndex
2019/12/11 8:26:32 PM GMT+5:30,Powai,19.115408,72.913803,777,Murder,17-10-2019,00:26,Male,35,2.4
2019/12/11 8:28:04 PM GMT+5:30,Powai,19.12003,72.917837,702,Robbery,16-09-2019,21:51,Male,33,3
2019/12/11 8:29:26 PM GMT+5:30,Powai,19.101783,72.901357,709,Theft,18-09-2019,21:36,Male,24,3
2019/12/11 8:30:52 PM GMT+5:30,Powai,19.107217,72.890543,743,Theft,29-09-2019,12:30,Male,32,3
2019/12/11 8:32:17 PM GMT+5:30,Powai,19.11042,72.904791,745,Murder,29-09-2019,17:00,Male,52,2.4
2019/12/11 8:33:39 PM GMT+5:30,Powai,19.115083,72.915047,747,Theft,30-09-2019,20:05,Male,22,3
2019/12/11 8:36:14 PM GMT+5:30,Andheri,19.110829,72.857626,2003,Theft,29-09-2019,22:53,Male,34,2
2019/12/11 8:38:01 PM GMT+5:30,Andheri,19.143104,72.821577,2002,Robbery,29-11-2019,13:00,Male,42,2
2019/12/12 1:30:10 PM GMT+5:30,Andheri,19.138401,72.862261,2001,Theft,28-11-2019,17:46,Female,22,2
2019/12/12 1:32:15 PM GMT+5:30,Andheri,19.129157,72.866037,2000,Robbery,28-11-2019,15:50,Male,34,2
2019/12/12 1:33:32 PM GMT+5:30,Andheri,19.135644,72.86432,1997,Theft,28-11-2019,13:00,Male,27,2
2019/12/12 1:35:44 PM GMT+5:30,Andheri,19.126997,72.870425,1988,Murder,26-11-2019,19:25,Female,28,2
2019/12/12 1:37:02 PM GMT+5:30,Andheri,19.127788,72.868912,1988,Theft,26-11-2019,19:25,Female,39,2
2019/12/12 1:38:46 PM GMT+5:30,Andheri,19.11315,72.876508,1977,Murder,25-11-2019,22:10,Male,47,2
2019/12/12 1:40:08 PM GMT+5:30,Andheri,19.100498,72.943113,1975,Theft,24-11-2019,12:38,Male,30,2
2019/12/12 1:41:45 PM GMT+5:30,Andheri,19.110879,72.875822,1966,Theft,24-11-2019,18:45,Male,57,2
2019/12/12 1:43:58 PM GMT+5:30,Andheri,19.135916,72.829409,1954,Robbery,20-11-2019,00:51,Male,21,2
2019/12/12 1:45:22 PM GMT+5:30,Andheri,19.137234,72.829151,1946,Theft,19-11-2019,15:10,Male,31,2
2019/12/12 1:46:46 PM GMT+5:30,Andheri,19.135491,72.831329,1890,Theft,13-11-2019,11:04,Male,22,2
2019/12/12 1:48:21 PM GMT+5:30,Andheri,19.137123,72.830353,1886,Robbery,12-11-2019,06:51,Male,29,2
2019/12/12 1:49:56 PM GMT+5:30,Andheri,19.143133,72.82207,1867,Robbery,09-11-2019,02:51,Male,46,2
2019/12/12 1:51:35 PM GMT+5:30,Andheri,19.144511,72.830568,1858,Robbery,07-11-2019,22:53,Male,33,2
2019/12/12 1:54:27 PM GMT+5:30,Andheri,19.141714,72.834258,1840,Theft,06-11-2019,16:55,Female,45,2
2019/12/12 1:55:59 PM GMT+5:30,Andheri,19.134026,72.832101,1645,Theft,08-11-2019,17:15,Male,37,2
2019/12/12 1:58:34 PM GMT+5:30,Bandra,19.058342,72.834543,2087,Theft,29-11-2019,21:13,Male,65,2.5
2019/12/12 1:59:47 PM GMT+5:30,Bandra,19.057774,72.841066,2086,Robbery,29-11-2019,19:25,Male,33,2.5
2019/12/12 2:01:13 PM GMT+5:30,Bandra,19.052988,72.844328,2085,Theft,29-11-2019,10:33,Male,46,2.5
2019/12/12 2:02:26 PM GMT+5:30,Andheri,19.043734,72.82217,2084,Theft,28-11-2019,16:23,Male,43,2
2019/12/12 2:05:25 PM GMT+5:30,Bandra,19.059176,72.840881,2080,Theft,28-11-2019,12:30,Male,39,2.5
2019/12/12 2:06:47 PM GMT+5:30,Bandra,19.065098,72.82629,2069,Robbery,24-11-2019,15:42,Female,22,2.5
2019/12/12 2:08:11 PM GMT+5:30,Bandra,19.055434,72.842405,2068,Theft,25-11-2019,15:15,Male,32,2.5
2019/12/12 2:09:19 PM GMT+5:30,Bandra,19.054623,72.843617,2064,Theft,23-11-2019,14:15,Male,45,2.5
2019/12/12 2:11:02 PM GMT+5:30,Bandra,19.056306,72.840001,2059,Murder,22-11-2019,17:25,Female,28,2.5
2019/12/12 2:12:29 PM GMT+5:30,Bandra,19.055799,72.834626,2057,Robbery,20-11-2019,19:15,Male,44,2.5
2019/12/12 2:13:57 PM GMT+5:30,Bandra,19.051905,72.838403,2030,Theft,18-11-2019,20:25,Male,27,2.5
2019/12/12 2:15:19 PM GMT+5:30,Bandra,19.059044,72.832738,1842,Robbery,14-10-2019,23:45,Male,36,2.5
2019/12/12 2:16:32 PM GMT+5:30,Bandra,19.059206,72.838059,1841,Theft,17-10-2019,19:30,Female,28,2.5
2019/12/12 2:17:48 PM GMT+5:30,Bandra,19.057625,72.822717,1839,Theft,15-10-2019,16:45,Female,58,2.5
2019/12/12 2:19:12 PM GMT+5:30,Bandra,19.054187,72.835742,1824,Robbery,10-10-2019,22:45,Male,54,2.5
2019/12/12 2:20:18 PM GMT+5:30,Bandra,19.062948,72.842008,1812,Theft,09-10-2019,15:15,Male,34,2.5
